company_name,phase,query_or_url,backend_used,success,error_message,extracted_data_json,raw_html_snippet,timestamp
Chronosphere,2.1_public_market,"""Chronosphere"" (ticker OR ""market cap"" OR site:finance.yahoo.com OR site:marketwatch.com)",serper,True,,"{""is_public"": false, ""ticker"": null, ""exchange"": null, ""market_cap"": null}","• [Chronosphere Stock | Valuation, Funding, Investors | Notice.co](https://notice.co/c/chronosphere-io)   Since it is not publicly listed, there is no Chronosphere stock symbol or Chronosphere ticker symbol assigned for Chronosphere. Private companies typically ... • [Invest In Chronosphere Stock | Buy Pre-IPO Shares - EquityZen](https://equityzen.com/company/chronosphere/)   Chronosphere Stock (CHRN). Chronosphere develops a scalable, reliable, and ... EquityZen created the ticker symbols referenced on this page for use solely on the ... • [Palo Alto Networks to buy Chronosphere for $3.35bn -",2026-06-16T06:39:03.090755
Chronosphere,2.2_funding,"""Chronosphere"" (crunchbase OR ""funding round"" OR ""series A"" OR ""annual revenue"" OR ""Q3 results"" OR ""Q4 results"" OR ""earnings report"" OR ""raised"")",serper,True,,"{""has_funding"": true, ""total_funding"": ""$343M"", ""stage"": ""series_c_plus"", ""investors"": [""GV"", ""Geodesic Capital""]}","• [Chronosphere, Inc. A Palo Alto Networks Company - Crunchbase](https://www.crunchbase.com/organization/chronosphere)   Chronosphere is a cloud native observability platform that helps teams quickly resolve incidents while controlling costs. • [Chronosphere launches with $11M Series A to build scalable, cloud ...](https://techcrunch.com/2019/11/05/chronosphere-launches-with-11m-series-a-to-build-scalable-cloud-native-monitoring-tool/)   Chronosphere launches with $11M Series A to build scalable, cloud-native monitoring tool. Ron Miller. 7:07 AM PST · November 5, 2019. • [Latest $115M Series C",2026-06-16T06:39:14.423886
Chronosphere,2.3_customers,"site:chronosphere.io (""trusted by"" OR ""customers"" OR ""teams relying on"" OR ""clients"" OR ""case studies"" OR ""success stories"" OR ""investor relations"" OR ""annual report"")",serper,True,,"{""customer_count_estimate"": ""unknown; enterprise customer base with no exact count visible in the provided results"", ""size_signal"": ""enterprise"", ""evidence"": ""Search results mention 'Record Revenue, Customer and Employee Growth' and homepage says 'Trusted By Industry Leaders.' Notable customer logos/case studies include DoorDash, Snap, Robinhood, and Zillow.""}","• [Chronosphere Announces Record Revenue, Customer and ...](https://chronosphere.io/news/chronosphere-announces-record-revenue-customer-and-employee-growth/)   Chronosphere is the first observability platform that enables customers to capture, store and analyze every distributed trace, at scale, without being cost- ... • [Chronosphere | Observability Purpose Built for Kubernetes](https://chronosphere.io/)   Chronosphere offers the only observability solutions that give customers complete control over cost and complexity: ... Trusted By Industry Leaders. • [Customers rate Chronosphere a 4.7/5 i",2026-06-16T06:39:40.677000
Chronosphere,3.1_job_postings,"(site:greenhouse.io OR site:boards.greenhouse.io OR site:jobs.lever.co OR site:*.myworkdayjobs.com OR site:jobs.taleo.net OR site:icims.com OR site:careers.smartrecruiters.com OR site:successfactors.com OR site:wellfound.com/company OR site:jobs.ashbyhq.com) ""Chronosphere"" careers",serper,True,,"{""has_openings"": true, ""job_titles"": [""Chronosphere - Professional Service Consultant""], ""departments"": [""Professional Services""], ""total_count"": 1}","• [Chronosphere - Jobs](https://jobs.ashbyhq.com/chronospherejobs)   Chronosphere. Open Positions (0). Filters: Department, All Departments. Employment Type, All Employment Types. Location, All Locations. Location Type, All ... • [Chronosphere Careers - Insights and Opportunities - Wellfound](https://wellfound.com/company/chronosphere)   Find out if Chronosphere is the right fit for your future career! Explore jobs, salary, equity, and funding information. Read about work-life balance, ... • [https://paloaltonetworks.wd5.myworkdayjobs.com/pan...](https://paloaltonetworks.wd5.myworkdayjobs.com/",2026-06-16T06:39:59.833589
Chronosphere,3.2_expansion_news,"""Chronosphere"" (expansion OR ""new office"" OR ""new market"" OR ""new headquarters"" OR ""hiring"" OR ""growing team"" OR ""series"" OR ""acqui"") after:2024-01-01",serper,True,,"{""has_signals"": true, ""news_headlines"": [""Chronosphere Revenue 2025: $160M ARR, $3.4B Valuation"", ""Chronosphere Sales Specialist at Palo Alto Networks""], ""signal_types"": [""expanding"", ""hiring"", ""stable""], ""summary"": ""Valid recent signals point to Chronosphere continuing to grow commercially, with reported 2025 ARR/valuation strength and active sales hiring; no explicit contraction evidence found.""}","• [Chronosphere Marks a Year of New Capabilities and Expansion](https://chronosphere.io/news/chronosphere-marks-a-year-of-new-capabilities/)   Chronosphere, the leading cloud native observability platform, had another record-setting year, raising $120 million in Series C funding at a $1.6 billion ... • [Now Hiring: Chronosphere From Fortune 500 organizations to ...](https://www.linkedin.com/posts/greylock-partners_now-hiring-chronosphere-from-fortune-500-activity-7229869858606170113-SBIQ)   Now Hiring: Chronosphere From Fortune 500 organizations to startups, engineering teams around the world ",2026-06-16T06:40:21.128667
Chronosphere,4.0_synthesis,[LLM synthesis - no search],llm,True,,"{""summary"": ""Chronosphere is a strong mid-market-to-enterprise software company with significant funding, reported $160M ARR, and a $3.4B valuation, indicating substantial budget capacity and operational scale. Its observability platform focus and enterprise customer base suggest mature GTM, technical complexity, and ongoing needs across sales, partnerships, professional services, and infrastructure. Current hiring and expansion signals, including a Professional Services role and Palo Alto Networks sales alignment, point to active growth and commercialization momentum."", ""icp_score"": 9, ""recommended_action"": ""reach_out"", ""key_buying_signals"": [""Reported $160M ARR and $3.4B valuation indicate strong budget and scale"", ""Active hiring for Professional Services suggests customer expansion and implementation demand""]}",,2026-06-16T06:40:29.175380
The Call Gurus,1.1_official_url,The Call Gurus official website,serper,True,,"{""official_url"": ""https://www.thecallgurus.com""}","• [The Call Gurus | BPO Services](https://www.thecallgurus.com/)   We at The Call Gurus are so much more than a call center. We're difference makers. Problem solvers when it comes to outsourced labor. • [Careers | The Call Gurus](https://www.thecallgurus.com/careers)   We don't just want to help you find a job—we want to help you grow, just like we do for our clients. We truly believe in bringing opportunities to all of ... • [The Call Gurus | Outsource Accelerator](https://www.outsourceaccelerator.com/company/the-call-gurus/)   The Call Gurus is a fast growing Outsourcing Call Center of Engli",2026-06-16T06:40:34.793709
The Call Gurus,1.2_linkedin,"site:linkedin.com/company ""The Call Gurus""",serper,True,,"{""linkedin_url"": ""https://www.linkedin.com/company/the-call-gurus"", ""industry"": ""Outsourcing and Offshoring Consulting"", ""description"": ""Not just a Contact Center, a Profit Center."", ""employee_count_estimate"": ""1,001-5,000 employees""}","• [The Call Gurus - LinkedIn](https://www.linkedin.com/company/the-call-gurus)   The Call Gurus. Outsourcing and Offshoring Consulting. Phoenix, Arizona 2,000 followers. Not just a Contact Center, a Profit Center. • [‏The Call Gurus‏ | LinkedIn](https://ae.linkedin.com/company/the-call-gurus)   الاستشارات في مجال التعاقد الخارجي والتوريد إلى الخارج · نبذة عنا · المواقع الجغرافية · موظفين في ‏The Call Gurus‏ · التحديثات · انضم الآن لعرض ما ... • [The Call Gurus | LinkedIn](https://il.linkedin.com/company/the-call-gurus)   עלינו ; אתר אינטרנט: https://www.thecallgurus.com/. קישור חיצוני עבור The",2026-06-16T06:40:42.473082
The Call Gurus,2.1_public_market,"""The Call Gurus"" (ticker OR ""market cap"" OR site:finance.yahoo.com OR site:marketwatch.com)",serper,True,,"{""is_public"": false, ""ticker"": null, ""exchange"": null, ""market_cap"": null}","• [The Call Gurus - Overview, News & Similar companies | ZoomInfo.com](https://www.zoominfo.com/c/the-call-gurus/480493091)   Is The Call Gurus a public company? The Call Gurus is private company therefore does not currently have an official ticker symbol. See more information about ... • [The Call Gurus: Employee Directory | ZoomInfo.com](https://www.zoominfo.com/pic/the-call-gurus/480493091)   The Call Gurus's CEO is Travis Prouty Who are The Call Gurus ... The Call Gurus is private company therefore does not currently have an official ticker symbol. • [Dustin DeFrates is Helping Real Estate",2026-06-16T06:40:50.893002
The Call Gurus,2.2_funding,"""The Call Gurus"" (crunchbase OR ""funding round"" OR ""series A"" OR ""annual revenue"" OR ""Q3 results"" OR ""Q4 results"" OR ""earnings report"" OR ""raised"")",serper,True,,"{""has_funding"": false, ""total_funding"": null, ""stage"": ""unknown"", ""investors"": []}","• [What is the annual revenue of The Call Gurus? - RocketReach](https://rocketreach.co/answers/what-is-the-annual-revenue-of-the-call-gurus_b43bddebc197dcdd)   Back to The Call Gurus. What is the annual revenue of The Call Gurus? The annual revenue of The Call Gurus was $41.2 million in 2026. The Call Gurus. View ... • [The Call Gurus Revenue, Funding & Valuation - Prospeo](https://prospeo.io/c/the-call-gurus-revenue)   The Call Gurus has never raised funding before. The Call Gurus Tech Stack ... The Call Gurus generates an estimated annual revenue of $15,000,000. This ... • [The Call Gurus | ",2026-06-16T06:40:57.499784
The Call Gurus,2.3_customers,"site:www.thecallgurus.com (""trusted by"" OR ""customers"" OR ""teams relying on"" OR ""clients"" OR ""case studies"" OR ""success stories"" OR ""investor relations"" OR ""annual report"")",serper,True,,"{""customer_count_estimate"": ""unknown"", ""size_signal"": ""unknown"", ""evidence"": ""Search results mention serving 'clients,' 'partners,' and 'customers' across BPO, lead generation, and omnichannel support, but provide no customer count, volume milestone, or notable client logos.""}","• [The Call Gurus | BPO Services](https://www.thecallgurus.com/)   Home Services vertical connects customers with home improvement solutions ... clients. I love how The Call Gurus treats the business of our affiliate ... • [Privacy Policy - The Call Gurus](https://www.thecallgurus.com/privacy-policy)   ... clients and partners. The Policy is designed to assist you in understanding ... customers and prospective customers. Occasionally, we may also use the ... • [Lead Generation B2B + B2C | The Call Gurus](https://www.thecallgurus.com/lead-generation)   Our highly skilled sales staff will reach ",2026-06-16T06:41:06.422915
The Call Gurus,3.1_job_postings,"(site:greenhouse.io OR site:boards.greenhouse.io OR site:jobs.lever.co OR site:*.myworkdayjobs.com OR site:jobs.taleo.net OR site:icims.com OR site:careers.smartrecruiters.com OR site:successfactors.com OR site:wellfound.com/company OR site:jobs.ashbyhq.com) ""The Call Gurus"" careers",serper,True,,{},,2026-06-16T06:41:10.629270
The Call Gurus,3.2_expansion_news,"""The Call Gurus"" (expansion OR ""new office"" OR ""new market"" OR ""new headquarters"" OR ""hiring"" OR ""growing team"" OR ""series"" OR ""acqui"") after:2024-01-01",serper,True,,"{""has_signals"": true, ""news_headlines"": [""We are looking for YOU! If you have strong communication skills ..."", ""Lead Generation Specialist Join The Call Gurus Referral Program ..."", ""Looking for a job where you can grow professionally and earn great ..."", ""This February, you deserve the best job. At The Call Gurus, we offer ..."", ""Join a team that plays to win! We're hiring customer-focused talent ...""], ""signal_types"": [""hiring"", ""expanding""], ""summary"": ""The Call Gurus shows recent growth signals through multiple active hiring campaigns for sales, customer-focused, and lead generation roles across Mexico and Guadalajara.""}","• [We are looking for YOU! If you have strong communication skills ...](https://www.instagram.com/reel/DUmaP0bjLEU/)   We are hiring, we are hiring. Señores son muchas las cosas que se ven y al ... Join The Call Gurus MX on Instagram. Sign up for Instagram · Sign up ... • [Lead Generation Specialist Join The Call Gurus Referral Program ...](https://www.facebook.com/groups/568322390669918/posts/2011895502979259/)   The Call Gurus, creators of the #JustTransfers position, are hiring Lead Generation Specialists across Mexico. Work from home and be part of a dynamic team! • [Looking for a job wher",2026-06-16T06:41:34.857869
The Call Gurus,4.0_synthesis,[LLM synthesis - no search],llm,True,,"{""summary"": ""The Call Gurus is a private outsourcing/contact center firm positioning itself as a revenue-focused partner, which can be a relevant fit for solutions tied to sales enablement, lead generation, customer support, workforce management, or contact center operations. Recent expansion and hiring-related messaging suggests operational growth and potential near-term needs, but there is limited firmographic data on employee count, revenue, customer base, or funding. Because scale is unclear and no active job postings were found despite hiring signals, the account warrants additional qualification before prioritizing outbound heavily."", ""icp_score"": 6, ""recommended_action"": ""research_more"", ""key_buying_signals"": [""Public messaging indicates expansion and hiring for customer-focused and lead generation roles"", ""Business model depends on contact center, sales, and customer communication operations""]}",,2026-06-16T06:41:45.168290
Recurly,1.1_official_url,Recurly official website,serper,True,,"{""official_url"": ""https://recurly.com""}","• [Recurly: Subscription Management Software & Recurring Billing ...](https://recurly.com/)   Recurly powers subscription management and recurring billing for high-volume digital commerce. Launch, retain, and scale with a platform that handles ... • [Recurly Documentation](https://docs.recurly.com/)   Welcome to the Recurly Documentation Hub: your single source for everything Recurly. Explore comprehensive guides, API references, and best practices across ... • [Benchmarks & Insights - Recurly](https://recurly.com/research/)   Recurly is the best subscription management software and recurring ",2026-06-16T06:40:20.832067
Recurly,1.2_linkedin,"site:linkedin.com/company ""Recurly""",serper,True,,"{""linkedin_url"": ""https://www.linkedin.com/company/recurly"", ""industry"": ""Software Development"", ""description"": ""Subscription and billing platform helping leading brands grow recurring revenue faster, smarter, and stronger."", ""employee_count_estimate"": """"}","• [Recurly - LinkedIn](https://www.linkedin.com/company/recurly)   Recurly is the subscription and billing platform trusted by leading brands to grow their recurring revenue faster, smarter, and stronger. • [Prive (Now Recurly Commerce) - LinkedIn](https://www.linkedin.com/company/tryprive)   Prive is now Recurly Commerce — powering physical goods and DTC subscription growth for Shopify brands. Follow @Recurly to get ahead of what's ... • [Recurly: Jobs - LinkedIn](https://www.linkedin.com/company/recurly/jobs)   Jobs at Recurly ; IT Administrator I · Broomfield, CO $66,000.00 - $103,000.00 ; ",2026-06-16T06:40:29.365841
Recurly,2.1_public_market,"""Recurly"" (ticker OR ""market cap"" OR site:finance.yahoo.com OR site:marketwatch.com)",serper,True,,"{""is_public"": false, ""ticker"": null, ""exchange"": null, ""market_cap"": null}",• [Invest In Recurly Stock | Buy Pre-IPO Shares - EquityZen](https://equityzen.com/company/recurly/)   Accredited investors can buy pre-IPO stock in companies like Recurly through EquityZen funds. These investments are made available by existing Recurly ... • [Recurly Secures Majority Equity Investment From Accel-KKR](https://finance.yahoo.com/news/recurly-secures-majority-equity-investment-160000252.html)   Stock market · Newsletters · Crypto · Tech · Tariffs; More Topics. Economies ... Recurly Secures Majority Equity Investment From Accel-KKR. • [Recurly Appoints Jemima Bowden as First CHRO ,2026-06-16T06:40:38.622609
Recurly,2.2_funding,"""Recurly"" (crunchbase OR ""funding round"" OR ""series A"" OR ""annual revenue"" OR ""Q3 results"" OR ""Q4 results"" OR ""earnings report"" OR ""raised"")",serper,True,,"{""has_funding"": true, ""total_funding"": ""$42.2M"", ""stage"": ""series_c_plus"", ""investors"": [""Accel-KKR"", ""Ebridge Ventures"", ""BV Capital""]}","• [Recurly - Crunchbase Company Profile & Funding](https://www.crunchbase.com/organization/recurly)   Recurly, Inc. provides enterprise-class recurring billing management for thousands of subscription-based SaaS, Web 2.0, Mobile, content and publishing ... • [Series C - Recurly - Crunchbase Funding Round Profile](https://www.crunchbase.com/funding_round/recurly-series-c--680e9147)   Organization Name. Recurly Logo. Recurly ; Announced Date. obfuscated. obfuscation ; Funding Type Series C ; Funding Stage Late Stage Venture ; Money Raised. • [Recurly Raises $6 Million in series A](https://recurl",2026-06-16T06:40:46.653662
Recurly,2.3_customers,"site:recurly.com (""trusted by"" OR ""customers"" OR ""teams relying on"" OR ""clients"" OR ""case studies"" OR ""success stories"" OR ""investor relations"" OR ""annual report"")",serper,True,,"{""customer_count_estimate"": ""2,400+ customers/brands"", ""size_signal"": ""enterprise"", ""evidence"": ""Recurly customer stories page says it is 'trusted by leading brands' with 'many successful customers'; notable logos/customer stories include Output, and publicly cited Recurly clients include Sling TV, FabFitFun, Paramount+, Twitch, BarkBox, and TIME.""}",• [Recurly customer stories - trusted by leading brands](https://recurly.com/customers/)   See why Recurly is the market leader and expert in subscription commerce with many successful customers from well-known brands in a wide variety of industries. • [Beyond the transaction: Turning customers into superusers - Recurly](https://recurly.com/resources/webinar/turning-customers-into-superusers/)   Beyond the transaction: Turning customers into superusers. Join renowned expert Robbie Kellman Baxter as she shares proven strategies to expand subscriber ... • [Customer winback strategies for subscri,2026-06-16T06:41:34.425391
Recurly,3.1_job_postings,"(site:greenhouse.io OR site:boards.greenhouse.io OR site:jobs.lever.co OR site:*.myworkdayjobs.com OR site:jobs.taleo.net OR site:icims.com OR site:careers.smartrecruiters.com OR site:successfactors.com OR site:wellfound.com/company OR site:jobs.ashbyhq.com) ""Recurly"" careers",serper,True,,"{""has_openings"": false, ""job_titles"": [], ""departments"": [], ""total_count"": 0}","• [Recurly Careers - Insights and Opportunities - Wellfound](https://wellfound.com/company/recurly)   Find out if Recurly is the right fit for your future career! Explore jobs, salary, equity, and funding information. Read about work-life balance, perks, ... • [Jobs at Recurly: Explore current Opportunities - Wellfound](https://wellfound.com/company/recurly/jobs)   Recurly hasn't added any jobs yet ... Get notified when Recurly posts new jobs. See similar jobs. Create job alert. Recommended Jobs At Similar Companies. • [Careers - Myworkdayjobs.com](https://generalmotors.wd5.myworkdayjobs.com/e",2026-06-16T06:41:44.394292
Recurly,3.2_expansion_news,"""Recurly"" (expansion OR ""new office"" OR ""new market"" OR ""new headquarters"" OR ""hiring"" OR ""growing team"" OR ""series"" OR ""acqui"") after:2024-01-01",serper,True,,"{""has_signals"": true, ""news_headlines"": [""What's New: Recurly Spring Release 2026 Highlights"", ""Recurly announced an expanded investment in the Shopify ecosystem"", ""Matt Schurk joined Recurly as Chief Revenue Officer to help propel its next stage of growth""], ""signal_types"": [""expanding"", ""hiring""], ""summary"": ""Recurly shows recent growth signals through 2026 product innovation, global/subscription expansion initiatives, deeper Shopify ecosystem investment, and executive hiring for revenue growth.""}","• [What's New: Recurly Spring Release 2026 Highlights](https://recurly.com/blog/recurly-spring-release-2026-highlights/)   Discover Recurly's latest product innovations across agentic AI, subscription lifecycle automation, and global expansion initiatives in our spring 2026 release. • [Press releases - Recurly](https://recurly.com/press/)   AUSTIN, TX – December 9, 2025 – Recurly, the subscription growth platform, today announced an expanded investment in the Shopify ecosystem as ecommerce brands ... • [Recurly - Crunchbase Company Profile & Funding](https://www.crunchbase.com/organization/rec",2026-06-16T06:42:00.028210
Recurly,4.0_synthesis,[LLM synthesis - no search],llm,True,,"{""summary"": ""Recurly is a strong mid-market fit with a mature subscription billing platform, 2,400+ customer/brand footprint, and late-stage private funding profile. Recent expansion signals, including increased investment in the Shopify ecosystem and a Spring 2026 product release, suggest active go-to-market and product growth. The appointment of a new Chief Revenue Officer indicates focus on scaling revenue execution and may create openness to solutions that improve sales, marketing, partnerships, customer growth, or operational efficiency. Despite no active job postings found, the expansion news supports timely outreach."", ""icp_score"": 8, ""recommended_action"": ""reach_out"", ""key_buying_signals"": [""Expanded investment in the Shopify ecosystem"", ""New Chief Revenue Officer appointed to drive next stage of growth"", ""Recent Spring 2026 product release highlights"", ""Established customer base of 2,400+ brands""]}",,2026-06-16T06:42:08.584450
